"id","age","relative_hp_dist","rt","block_num"
15,"adult","high_prob",1027.910233,2
15,"adult","high_prob",992.432594,2
15,"adult","absent",706.901312,2
15,"adult","absent",709.38015,2
15,"adult","high_prob",1030.533075,2
15,"adult","absent",779.918909,2
15,"adult","lp_2",1169.506788,2
15,"adult","absent",1060.888052,2
15,"adult","absent",651.621819,2
15,"adult","high_prob",1149.815083,2
15,"adult","lp_2",1017.774582,2
15,"adult","absent",753.48568,2
15,"adult","absent",1101.295948,2
15,"adult","absent",768.975496,2
15,"adult","high_prob",854.846001,2
15,"adult","lp_1",1082.487583,2
15,"adult","absent",636.789799,2
15,"adult","high_prob",1044.672251,2
15,"adult","high_prob",613.685846,2
15,"adult","absent",734.44891,2
15,"adult","high_prob",708.679914,2
15,"adult","high_prob",684.26156,2
15,"adult","absent",607.900858,2
15,"adult","high_prob",500.33474,2
15,"adult","absent",988.088846,2
15,"adult","absent",621.021032,2
15,"adult","absent",691.623688,2
15,"adult","absent",600.813389,2
15,"adult","absent",1013.879061,2
15,"adult","high_prob",934.854031,2
15,"adult","absent",964.717865,2
15,"adult","lp_3",647.273779,2
15,"adult","high_prob",927.841425,2
15,"adult","lp_2",1127.416134,2
15,"adult","high_prob",1053.510904,2
15,"adult","high_prob",954.529524,2
15,"adult","absent",842.13376,2
15,"adult","high_prob",1006.893158,2
15,"adult","absent",767.424822,2
15,"adult","high_prob",728.239059,2
15,"adult","lp_2",943.042994,2
15,"adult","absent",967.180729,2
15,"adult","high_prob",1273.712635,2
15,"adult","absent",777.99511,2
15,"adult","high_prob",878.898144,2
15,"adult","absent",1168.62011,2
15,"adult","absent",734.279871,2
15,"adult","lp_1",1109.105825,2
15,"adult","absent",920.16387,3
15,"adult","absent",606.053829,3
15,"adult","absent",723.312616,3
15,"adult","absent",844.653845,3
15,"adult","absent",566.86902,3
15,"adult","high_prob",712.979317,3
15,"adult","high_prob",665.234089,3
15,"adult","lp_1",1014.431477,3
15,"adult","absent",610.102654,3
15,"adult","high_prob",792.659044,3
15,"adult","absent",604.902744,3
15,"adult","absent",642.683983,3
15,"adult","absent",615.104914,3
15,"adult","high_prob",896.268845,3
15,"adult","absent",535.167933,3
15,"adult","absent",1037.838221,3
15,"adult","lp_1",922.331095,3
15,"adult","absent",1138.758898,3
15,"adult","lp_2",773.167849,3
15,"adult","lp_3",1394.831419,3
15,"adult","absent",736.869097,3
15,"adult","lp_2",1227.078676,3
15,"adult","lp_2",836.096048,3
15,"adult","absent",1035.586834,3
15,"adult","absent",681.724548,3
15,"adult","high_prob",793.859005,3
15,"adult","absent",981.486082,3
15,"adult","absent",760.690689,3
15,"adult","high_prob",993.497133,3
15,"adult","absent",966.42065,3
15,"adult","absent",767.487764,3
15,"adult","high_prob",1188.853025,3
15,"adult","absent",567.564011,3
15,"adult","high_prob",823.530197,3
15,"adult","high_prob",677.807093,3
15,"adult","high_prob",573.316813,3
15,"adult","absent",552.444458,3
15,"adult","high_prob",639.741659,3
15,"adult","absent",783.869028,3
15,"adult","lp_3",1213.454723,3
15,"adult","absent",964.329243,3
15,"adult","absent",730.079651,3
15,"adult","lp_1",1662.485838,3
15,"adult","absent",711.243868,3
15,"adult","absent",1264.327765,3
15,"adult","absent",645.149946,3
15,"adult","lp_1",1273.15855,3
15,"adult","high_prob",1050.106525,3
15,"adult","high_prob",711.915255,3
15,"adult","absent",667.475462,3
15,"adult","lp_2",943.525314,3
15,"adult","high_prob",1051.512003,3
15,"adult","absent",724.217176,3
15,"adult","high_prob",740.164042,3
15,"adult","high_prob",700.197935,3
15,"adult","high_prob",590.267658,3
15,"adult","absent",589.56337,3
15,"adult","high_prob",723.874092,3
15,"adult","high_prob",604.023933,4
15,"adult","lp_1",776.637316,4
15,"adult","high_prob",1032.783985,4
15,"adult","absent",622.070074,4
15,"adult","absent",646.345139,4
15,"adult","absent",911.113739,4
15,"adult","absent",671.967983,4
15,"adult","high_prob",707.960606,4
15,"adult","absent",768.968821,4
15,"adult","absent",674.618244,4
15,"adult","lp_2",758.832216,4
15,"adult","high_prob",661.124706,4
15,"adult","high_prob",927.085876,4
15,"adult","absent",720.164537,4
15,"adult","absent",882.688999,4
15,"adult","high_prob",806.949377,4
15,"adult","lp_2",954.833031,4
15,"adult","lp_1",1137.876034,4
15,"adult","high_prob",790.564775,4
15,"adult","high_prob",849.909782,4
15,"adult","absent",802.439928,4
15,"adult","lp_1",910.25281,4
15,"adult","high_prob",766.213655,4
15,"adult","absent",722.081184,4
15,"adult","absent",923.163176,4
15,"adult","absent",608.844995,4
15,"adult","absent",559.747458,4
15,"adult","absent",750.4282,4
15,"adult","absent",694.88883,4
15,"adult","high_prob",792.128325,4
15,"adult","lp_3",1069.956064,4
15,"adult","absent",745.810032,4
15,"adult","high_prob",693.228722,4
15,"adult","absent",622.270107,4
15,"adult","high_prob",671.254873,4
15,"adult","absent",677.013159,4
15,"adult","absent",851.272583,4
15,"adult","lp_3",1119.175196,4
15,"adult","absent",619.6661,4
15,"adult","high_prob",745.734692,4
15,"adult","absent",642.755508,4
15,"adult","absent",598.834038,4
15,"adult","high_prob",589.159012,4
15,"adult","absent",531.501055,4
15,"adult","lp_2",1271.423817,4
15,"adult","absent",657.117844,4
15,"adult","absent",674.34907,4
15,"adult","high_prob",610.394001,4
15,"adult","absent",650.458813,4
15,"adult","high_prob",1013.852596,4
15,"adult","absent",634.487391,4
15,"adult","high_prob",728.7395,4
15,"adult","high_prob",772.59469,4
15,"adult","high_prob",973.803997,4
15,"adult","lp_2",839.455843,4
15,"adult","absent",643.123865,4
15,"adult","high_prob",575.62089,4
15,"adult","absent",786.138296,4
15,"adult","lp_1",1090.700865,4
15,"adult","absent",649.311781,5
15,"adult","lp_1",939.759016,5
15,"adult","lp_2",761.342287,5
15,"adult","absent",542.17577,5
15,"adult","absent",1296.815157,5
15,"adult","absent",799.567223,5
15,"adult","absent",741.935015,5
15,"adult","lp_2",771.584988,5
15,"adult","absent",750.313282,5
15,"adult","high_prob",1067.949057,5
15,"adult","absent",873.905897,5
15,"adult","absent",654.883146,5
15,"adult","absent",740.669727,5
15,"adult","absent",760.08296,5
15,"adult","absent",680.829287,5
15,"adult","absent",806.983232,5
15,"adult","absent",902.473211,5
15,"adult","high_prob",940.285921,5
15,"adult","high_prob",1455.224037,5
15,"adult","high_prob",1021.296978,5
15,"adult","absent",676.644802,5
15,"adult","high_prob",991.195202,5
15,"adult","absent",770.410061,5
15,"adult","high_prob",761.09767,5
15,"adult","high_prob",779.00362,5
15,"adult","absent",616.065264,5
15,"adult","absent",591.481924,5
15,"adult","absent",500.259161,5
15,"adult","high_prob",719.689846,5
15,"adult","high_prob",678.107023,5
15,"adult","absent",557.355642,5
15,"adult","absent",953.83358,5
15,"adult","high_prob",1712.565184,5
15,"adult","lp_3",1066.184282,5
15,"adult","absent",980.651855,5
15,"adult","high_prob",859.41577,5
15,"adult","absent",935.634613,5
15,"adult","absent",1005.137205,5
15,"adult","lp_2",797.929049,5
15,"adult","high_prob",805.620193,5
15,"adult","absent",783.402443,5
15,"adult","lp_3",1088.017941,5
15,"adult","lp_1",1062.990189,5
15,"adult","absent",778.719902,5
15,"adult","high_prob",622.866154,5
15,"adult","high_prob",617.204189,5
15,"adult","high_prob",653.043509,5
15,"adult","high_prob",1026.032925,5
15,"adult","lp_1",676.665306,5
15,"adult","high_prob",1782.760382,5
15,"adult","high_prob",677.422047,5
15,"adult","absent",846.904755,5
15,"adult","lp_2",971.041203,5
15,"adult","absent",985.355616,5
15,"adult","absent",624.570131,5
15,"adult","high_prob",1691.551924,5
15,"adult","absent",839.152813,5
15,"adult","absent",543.11204,5
15,"adult","absent",953.002214,6
15,"adult","high_prob",908.645391,6
15,"adult","absent",791.295767,6
15,"adult","absent",663.40971,6
15,"adult","absent",669.088125,6
15,"adult","high_prob",944.972038,6
15,"adult","absent",664.067984,6
15,"adult","high_prob",564.44478,6
15,"adult","absent",730.432987,6
